Date,Total
1/1/2017,443
1/2/2017,1167
1/3/2017,1618
1/4/2017,1529
1/5/2017,1449
1/6/2017,1271
1/7/2017,1261
1/8/2017,1257
1/9/2017,1433
1/10/2017,1439
1/11/2017,1392
1/12/2017,1194
1/13/2017,1227
1/14/2017,1105
1/15/2017,1069
1/16/2017,1403
1/17/2017,1418
1/18/2017,1431
1/19/2017,1097
1/20/2017,996
1/21/2017,925
1/22/2017,796
1/23/2017,1229
1/24/2017,1183
1/25/2017,1154
1/26/2017,1018
1/27/2017,1084
1/28/2017,603
1/29/2017,811
1/30/2017,1339
1/31/2017,1401
2/1/2017,1327
2/2/2017,962
2/3/2017,835
2/4/2017,570
2/5/2017,744
2/6/2017,990
2/7/2017,1092
2/8/2017,1009
2/9/2017,971
2/10/2017,846
2/11/2017,658
2/12/2017,862
2/13/2017,1153
2/14/2017,1031
2/15/2017,959
2/16/2017,913
2/17/2017,809
2/18/2017,610
2/19/2017,656
2/20/2017,888
2/21/2017,940
2/22/2017,892
2/23/2017,787
2/24/2017,663
2/25/2017,662
2/26/2017,805
2/27/2017,986
2/28/2017,878
3/1/2017,996
3/2/2017,780
3/3/2017,752
3/4/2017,675
3/5/2017,671
3/6/2017,873
3/7/2017,830
3/8/2017,759
3/9/2017,703
3/10/2017,625
3/11/2017,551
3/12/2017,566
3/13/2017,730
3/14/2017,705
3/15/2017,683
3/16/2017,735
3/17/2017,639
3/18/2017,594
3/19/2017,713
3/20/2017,884
3/21/2017,778
3/22/2017,871
3/23/2017,772
3/24/2017,695
3/25/2017,552
3/26/2017,641
3/27/2017,820
3/28/2017,711
3/29/2017,735
3/30/2017,653
3/31/2017,696
4/1/2017,543
4/2/2017,557
4/3/2017,800
4/4/2017,710
4/5/2017,743
4/6/2017,674
4/7/2017,637
4/8/2017,544
4/9/2017,568
4/10/2017,840
4/11/2017,749
4/12/2017,745
4/13/2017,691
4/14/2017,556
4/15/2017,532
4/16/2017,503
4/17/2017,746
4/18/2017,909
4/19/2017,842
4/20/2017,1095
4/21/2017,1141
4/22/2017,858
4/23/2017,872
4/24/2017,1063
4/25/2017,1008
4/26/2017,979
4/27/2017,994
4/28/2017,881
4/29/2017,798
4/30/2017,1002
5/1/2017,1134
5/2/2017,1159
5/3/2017,1062
5/4/2017,1027
5/5/2017,899
5/6/2017,839
5/7/2017,922
5/8/2017,1073
5/9/2017,1043
5/10/2017,993
5/11/2017,917
5/12/2017,840
5/13/2017,801
5/14/2017,698
5/15/2017,968
5/16/2017,861
5/17/2017,783
5/18/2017,802
5/19/2017,739
5/20/2017,668
5/21/2017,682
5/22/2017,865
5/23/2017,824
5/24/2017,846
5/25/2017,805
5/26/2017,639
5/27/2017,578
5/28/2017,538
5/29/2017,803
5/30/2017,780
5/31/2017,837
6/1/2017,777
6/2/2017,727
6/3/2017,620
6/4/2017,616
6/5/2017,1068
6/6/2017,1055
6/7/2017,1033
6/8/2017,1042
6/9/2017,894
6/10/2017,790
6/11/2017,771
6/12/2017,1130
6/13/2017,1051
6/14/2017,937
6/15/2017,957
6/16/2017,811
6/17/2017,679
6/18/2017,664
6/19/2017,952
6/20/2017,1046
6/21/2017,872
6/22/2017,796
6/23/2017,631
6/24/2017,563
6/25/2017,621
6/26/2017,800
6/27/2017,785
6/28/2017,851
6/29/2017,809
6/30/2017,618
7/1/2017,605
7/2/2017,581
7/3/2017,785
7/4/2017,789
7/5/2017,843
7/6/2017,911
7/7/2017,817
7/8/2017,572
7/9/2017,607
7/10/2017,755
7/11/2017,826
7/12/2017,636
7/13/2017,779
7/14/2017,674
7/15/2017,625
7/16/2017,624
7/17/2017,865
7/18/2017,881
7/19/2017,799
7/20/2017,687
7/21/2017,656
7/22/2017,628
7/23/2017,614
7/24/2017,801
7/25/2017,870
7/26/2017,822
7/27/2017,782
7/28/2017,702
7/29/2017,683
7/30/2017,694
7/31/2017,937
8/1/2017,883
8/2/2017,868
8/3/2017,810
